sample_idx,is_ood,true_label,true_class_name,pred_label,pred_class_name,correct,confidence,total_entropy,aleatoric,epistemic,variance
0,False,4,bookshelf,4,bookshelf,True,0.9598106741905212,0.2249617874622345,0.21534352004528046,0.00961826741695404,1.581817377882544e-05
1,False,0,airplane,0,airplane,True,0.999313473701477,0.006817074492573738,0.006024876143783331,0.0007921983487904072,4.7803823122194444e-08
2,False,2,bed,2,bed,True,0.46315422654151917,1.8731547594070435,1.7904375791549683,0.0827171802520752,0.0005634833360090852
3,False,6,chair,6,chair,True,0.9778408408164978,0.15567290782928467,0.1312766671180725,0.024396240711212158,2.586550726846326e-05
4,False,18,night_stand,11,dresser,False,0.5324089527130127,1.1655939817428589,1.1165646314620972,0.04902935028076172,0.0006414253148250282
5,False,32,vase,13,glass_box,False,0.3611730635166168,1.927323818206787,1.8150774240493774,0.11224639415740967,0.000805575109552592
6,False,30,toilet,30,toilet,True,0.9993351101875305,0.0068527949042618275,0.006150585599243641,0.0007022093050181866,2.3560353668017342e-08
7,False,30,toilet,30,toilet,True,0.9999458193778992,0.0006933051627129316,0.0006167980609461665,7.650710176676512e-05,2.2853889614093958e-10
8,False,23,range_hood,23,range_hood,True,0.659069836139679,0.7026923894882202,0.6615869402885437,0.041105449199676514,0.0008773229783400893
9,False,13,glass_box,13,glass_box,True,0.9927317500114441,0.05748077481985092,0.050865765661001205,0.006615009158849716,3.7349045669543557e-06
10,False,0,airplane,0,airplane,True,0.999835193157196,0.0019119958160445094,0.001717501087114215,0.00019449472893029451,2.9545799140606732e-09
11,False,28,table,28,table,True,0.9661359786987305,0.1733654886484146,0.15782620012760162,0.015539288520812988,3.9626269426662475e-05
12,False,30,toilet,30,toilet,True,0.9986333250999451,0.011551078408956528,0.009625841863453388,0.0019252365455031395,6.60010925912502e-07
13,False,32,vase,32,vase,True,0.9640600681304932,0.16268311440944672,0.15724046528339386,0.0054426491260528564,1.683876871538814e-05
14,False,25,sofa,2,bed,False,0.93296879529953,0.34310466051101685,0.3056064546108246,0.03749820590019226,0.00020011476590298116
15,False,6,chair,6,chair,True,0.9995676279067993,0.004606985487043858,0.004069609567523003,0.000537375919520855,3.779826585059709e-08
16,False,21,plant,21,plant,True,0.9364851713180542,0.3320175111293793,0.304707407951355,0.027310103178024292,5.67026982025709e-05
17,False,1,bathtub,1,bathtub,True,0.7627800107002258,0.7753671407699585,0.7152315974235535,0.06013554334640503,0.0007300464203581214
18,False,18,night_stand,18,night_stand,True,0.8511313199996948,0.721067488193512,0.6537154912948608,0.06735199689865112,0.00026316617731936276
19,False,30,toilet,30,toilet,True,0.9891138076782227,0.08276653289794922,0.07204832136631012,0.010718211531639099,7.51182233216241e-06
20,False,14,guitar,14,guitar,True,0.9991635084152222,0.00813499465584755,0.007203389424830675,0.0009316052310168743,7.548570835069768e-08
21,False,4,bookshelf,4,bookshelf,True,0.9513241052627563,0.22985541820526123,0.22072237730026245,0.00913304090499878,3.381696660653688e-05
22,False,17,monitor,17,monitor,True,0.9974154829978943,0.023795418441295624,0.02267834171652794,0.001117076724767685,9.991492788685719e-08
23,False,4,bookshelf,4,bookshelf,True,0.9820743799209595,0.11689358949661255,0.11034316569566727,0.006550423800945282,7.431348876707489e-06
24,False,0,airplane,0,airplane,True,0.981866717338562,0.11780048161745071,0.10091958194971085,0.016880899667739868,2.2567874111700803e-05
25,False,21,plant,19,person,False,0.5477371215820312,0.8570529222488403,0.7657446265220642,0.09130829572677612,0.001933378865942359
26,False,16,mantel,16,mantel,True,0.9862688779830933,0.0910971388220787,0.08534238487482071,0.005754753947257996,6.460742042690981e-06
27,False,5,car,5,car,True,0.9889354705810547,0.07738054543733597,0.07077497988939285,0.006605565547943115,3.651764473033836e-06
28,False,14,guitar,14,guitar,True,0.9970283508300781,0.02623354271054268,0.024256397038698196,0.0019771456718444824,2.3759039891046996e-07
29,False,2,bed,2,bed,True,0.9988387823104858,0.011531522497534752,0.009918822906911373,0.0016126995906233788,1.8691832792683272e-07
30,False,9,desk,9,desk,True,0.9948666095733643,0.04300050809979439,0.03732946887612343,0.0056710392236709595,3.1173801744444063e-06
31,False,5,car,5,car,True,0.9830641150474548,0.10005531460046768,0.09343031048774719,0.0066250041127204895,9.417179171578027e-06
32,False,31,tv_stand,31,tv_stand,True,0.6753585934638977,1.2014623880386353,1.0966635942459106,0.10479879379272461,0.0008307438693009317
33,False,31,tv_stand,31,tv_stand,True,0.7880064249038696,0.9187643527984619,0.8424640893936157,0.07630026340484619,0.0005396110936999321
34,False,28,table,28,table,True,0.9486334323883057,0.25212499499320984,0.2304564118385315,0.021668583154678345,9.526412759441882e-05
35,False,20,piano,20,piano,True,0.8677902221679688,0.6893602609634399,0.6422808170318604,0.04707944393157959,0.00021050195209681988
36,False,23,range_hood,23,range_hood,True,0.9784724116325378,0.11776718497276306,0.10781975090503693,0.009947434067726135,2.484143988112919e-05
37,False,32,vase,32,vase,True,0.5209394693374634,0.788496196269989,0.743146538734436,0.04534965753555298,0.0009781932458281517
38,False,23,range_hood,23,range_hood,True,0.6176681518554688,0.8440449237823486,0.7832071781158447,0.060837745666503906,0.0011415437329560518
39,False,25,sofa,25,sofa,True,0.9951584935188293,0.03910641372203827,0.03681745007634163,0.00228896364569664,5.891979526495561e-07
40,False,16,mantel,16,mantel,True,0.979671835899353,0.1179211214184761,0.10511849820613861,0.012802623212337494,2.7514532121131197e-05
41,False,18,night_stand,28,table,False,0.8592528104782104,0.5580581426620483,0.5102666616439819,0.047791481018066406,0.00038412734284065664
42,False,25,sofa,25,sofa,True,0.9985353350639343,0.013869224116206169,0.01296856440603733,0.0009006597101688385,6.500150817601025e-08
43,False,23,range_hood,23,range_hood,True,0.8205018639564514,0.4836236238479614,0.3999115526676178,0.08371207118034363,0.001648274133913219
44,False,16,mantel,16,mantel,True,0.9915593862533569,0.06377187371253967,0.0571565143764019,0.006615359336137772,4.655570592149161e-06
45,False,11,dresser,11,dresser,True,0.4690095782279968,1.3987113237380981,1.3409250974655151,0.05778622627258301,0.0006615071324631572
