bin,bin_range,count,avg_confidence,accuracy
0,0.0-0.1,0,,
1,0.1-0.2,5,0.19008934199810024,0.0
2,0.2-0.3,57,0.2611764143956335,0.22807017543859648
3,0.3-0.4,105,0.35986260714985074,0.3904761904761905
4,0.4-0.5,156,0.4526693018583151,0.47435897435897434
5,0.5-0.6,159,0.5476868759911016,0.5220125786163522
6,0.6-0.7,159,0.651902937664176,0.6855345911949685
7,0.7-0.8,186,0.7502028634471278,0.7258064516129032
8,0.8-0.9,247,0.8554494885297922,0.8785425101214575
9,0.9-1.0,1214,0.9788008726507278,0.984349258649094
