epoch,train_loss,train_acc,val_loss,val_acc,lr
0,2.6777751146396205,0.3125,2.084819377193135,0.430939226519337,0.001
1,2.171319436518772,0.41188725490196076,2.063490484037452,0.430939226519337,0.001
2,1.9240921508385302,0.46887254901960784,1.666952951968704,0.5027624309392266,0.001
3,1.7775109232779038,0.497671568627451,1.6316646399418953,0.5149171270718232,0.001
4,1.6618691829581858,0.5241421568627451,1.5612440470173872,0.5403314917127072,0.001
5,1.5911808518616866,0.546813725490196,1.4447718022278,0.5558011049723757,0.001
6,1.509693036400102,0.5692401960784313,1.22048000196067,0.6276243093922652,0.001
7,1.4587031629292035,0.5841911764705883,1.2460640701799761,0.6276243093922652,0.001
8,1.391386981689797,0.5980392156862745,1.2141665708952847,0.6419889502762431,0.001
9,1.3465269886219193,0.6096813725490197,1.2155586760347061,0.6187845303867403,0.001
10,1.3243112675074369,0.6174019607843138,1.0576585184803324,0.6839779005524862,0.001
11,1.2462051120091198,0.6328431372549019,1.0787758422819949,0.6773480662983425,0.001
12,1.2601238871327543,0.6329656862745098,1.083725980895659,0.6696132596685083,0.001
13,1.2397039488923618,0.6420343137254902,1.1239046698775739,0.6530386740331492,0.001
14,1.1989272366577133,0.6537990196078431,0.976614621199297,0.6917127071823205,0.001
15,1.1738387974369078,0.6623774509803921,1.013059828031129,0.6674033149171271,0.001
16,1.1608204802476088,0.6566176470588235,1.2815120740490065,0.6353591160220995,0.001
17,1.1479753589828736,0.6685049019607843,1.133328839428517,0.6784530386740332,0.001
18,1.1306427066909994,0.6737745098039216,1.3118100556220798,0.5889502762430939,0.001
19,1.105487061177751,0.6753676470588236,0.8572399549062739,0.7469613259668508,0.0005
20,0.9877928845163626,0.7084558823529412,0.7865715283715264,0.7646408839779005,0.0005
21,0.9560378067753091,0.7180147058823529,0.7340767719469018,0.7701657458563536,0.0005
22,0.9523001503421588,0.7174019607843137,0.7883124639974773,0.7447513812154696,0.0005
23,0.9278185259225423,0.7221813725490196,0.791488555781749,0.7491712707182321,0.0005
24,0.9243786494170833,0.7246323529411764,0.7953930811328782,0.7447513812154696,0.0005
25,0.9140951465511824,0.7321078431372549,0.7468089280207513,0.7491712707182321,0.0005
26,0.8955774933453884,0.733578431372549,0.8703102084154583,0.7491712707182321,0.0005
27,0.9072350327121296,0.73125,0.7472221901403606,0.7723756906077348,0.0005
28,0.9039017551015087,0.7381127450980393,0.7204852779925858,0.7734806629834254,0.0005
29,0.8798216058389238,0.7409313725490196,0.7069981044168631,0.7823204419889502,0.0005
30,0.8829775631142994,0.7357843137254902,0.7696674245497139,0.7569060773480663,0.0005
31,0.8619085510732437,0.7373774509803922,0.850015438854365,0.7337016574585635,0.0005
32,0.8458563840726595,0.7424019607843138,0.7698186674170732,0.7624309392265194,0.0005
33,0.8551312010471952,0.7438725490196079,0.724560514207703,0.7756906077348066,0.0005
34,0.8340672528380114,0.7477941176470588,0.6949321813346273,0.7845303867403315,0.0005
35,0.8561787929485843,0.7376225490196079,0.6583202552400241,0.7944751381215469,0.0005
36,0.8321332347958196,0.7487745098039216,0.7207707204871415,0.7834254143646409,0.0005
37,0.8205652537188751,0.753921568627451,0.7479645420833188,0.7823204419889502,0.0005
38,0.8081986381627029,0.7605392156862745,0.719611834228368,0.7767955801104972,0.0005
39,0.802330853351115,0.7596813725490196,0.6784624384253064,0.7845303867403315,0.00025
40,0.7556848501466907,0.7731617647058824,0.6176153892970216,0.8099447513812155,0.00025
41,0.7408144503528838,0.776593137254902,0.6276727421507651,0.8033149171270718,0.00025
42,0.7223858768472948,0.7843137254901961,0.6301194455742177,0.7966850828729282,0.00025
43,0.7084129569023158,0.7872549019607843,0.622912869400741,0.8088397790055248,0.00025
44,0.7009130698361409,0.7909313725490196,0.5900850473187905,0.8088397790055248,0.00025
45,0.6887281667393211,0.7919117647058823,0.6116916781630964,0.8099447513812155,0.00025
46,0.6973905132255849,0.7875,0.794078774346831,0.7513812154696132,0.00025
47,0.697012059845995,0.7903186274509804,0.604148198227856,0.8198895027624309,0.00025
48,0.7021331204133161,0.7860294117647059,0.6215363607222204,0.8143646408839779,0.00025
49,0.6876998298763718,0.7977941176470589,0.6764090622327604,0.7900552486187845,0.00025
50,0.6770510489517431,0.7932598039215686,0.5880018482550732,0.8220994475138121,0.00025
51,0.6549957321070725,0.8006127450980393,0.60237406169512,0.8099447513812155,0.00025
52,0.6850714109318667,0.7909313725490196,0.6436471526135398,0.7966850828729282,0.00025
53,0.6482753379225482,0.7990196078431373,0.5750985344470535,0.8265193370165745,0.00025
54,0.6615827733448406,0.8008578431372549,0.6282965939347915,0.8088397790055248,0.00025
55,0.672004551275913,0.796078431372549,0.6170362361228269,0.8099447513812155,0.00025
56,0.6572506158182204,0.8014705882352942,0.5960886666129307,0.8132596685082873,0.00025
57,0.6455752119106156,0.8017156862745098,0.5950369580015952,0.8198895027624309,0.00025
58,0.6496092062523359,0.7990196078431373,0.5851768133390015,0.8198895027624309,0.00025
59,0.6529076942024198,0.8026960784313726,0.5848964429692011,0.8176795580110497,0.000125
60,0.6097964243343849,0.8106617647058824,0.5328130474406712,0.8419889502762431,0.000125
61,0.6134727684931327,0.8056372549019608,0.5673594387855319,0.8209944751381215,0.000125
62,0.5896557281374508,0.8160539215686274,0.5507746017440248,0.8353591160220994,0.000125
63,0.5824490734340074,0.8208333333333333,0.5539263437466068,0.8232044198895028,0.000125
64,0.5834402796773223,0.8198529411764706,0.5609921996106101,0.8342541436464088,0.000125
65,0.5682389651182512,0.8265931372549019,0.5480171910307026,0.8209944751381215,0.000125
66,0.5678818872216489,0.8253676470588235,0.5512708354391446,0.8276243093922652,0.000125
67,0.5802073518420556,0.8232843137254902,0.5438140088682016,0.8320441988950277,0.000125
68,0.5625761236087753,0.8241421568627451,0.5276354417616491,0.8287292817679558,0.000125
69,0.5556910703627046,0.8311274509803922,0.5581696725023385,0.8276243093922652,0.000125
70,0.5569462040746153,0.8261029411764705,0.5430894564857799,0.8320441988950277,0.000125
71,0.5672738642927976,0.8227941176470588,0.5325222550834741,0.825414364640884,0.000125
