bin,bin_range,count,avg_confidence,accuracy
0,0.0-0.1,0,,
1,0.1-0.2,23,0.1738043482536855,0.21739130434782608
2,0.2-0.3,63,0.25506499220454504,0.31746031746031744
3,0.3-0.4,130,0.35526633033385646,0.38461538461538464
4,0.4-0.5,150,0.45275709152221677,0.5066666666666667
5,0.5-0.6,178,0.549738835082965,0.5898876404494382
6,0.6-0.7,167,0.6502823968847354,0.6706586826347305
7,0.7-0.8,170,0.7489488272105946,0.7764705882352941
8,0.8-0.9,201,0.8559555197829631,0.8557213930348259
9,0.9-1.0,1206,0.9804600220711077,0.9751243781094527
